Name,Genres,Studios,Synopsis,Score
Carnival Phantasm EX Season,"Comedy, Supernatural",Lerche,"A DVD-only episode bundled with the special edition Take Moon volume. 

Caren Ortensia attempts to control the world using money with varying degrees of success, Phantas-Moon receives a movie adaption of her T.V. show, and Shiki is involved in a love plot that spans years.   

(Source: Wikipedia)",7.46
Hyouka,"Mystery, Slice of Life",Kyoto Animation,"High school freshman Houtarou Oreki has but one goal: to lead a gray life while conserving as much energy as he can. Unfortunately, his peaceful days come to an end when his older sister, Tomoe, forces him to save the memberless Classics Club from disbandment.

Luckily, Oreki's predicament seems to be over when he heads to the clubroom and discovers that his fellow first-year, Eru Chitanda, has already become a member. However, despite his obligation being fulfilled, Oreki finds himself entangled by Chitanda's curious and bubbly personality, soon joining the club of his own volition.

Hyouka follows the four members of the Classics Club—including Oreki's friends Satoshi Fukube and Mayaka Ibara—as they, driven by Chitanda's insatiable curiosity, solve the trivial yet intriguing mysteries that permeate their daily lives.",8.08
Precure All Stars Movie New Stage: Mirai no Tomodachi,Fantasy,Toei Animation,"In the city of Minato Mirai in Yokohama, the news of Fusion's defeat by the Pretty Cures is the hottest topic in town! Girls everywhere are dressing up and acting as their favorite Cures. Only Sakagami Ayumi, the new transfer student, is alone by herself.

On her way home from school, Ayumi encounters a strange creature. After naming it Fu-Chan, Ayumi and the creature soon become good friends. However, Fu-Chan is actually a piece of Fusion, and holds the power of darkness. In an effort to make Ayumi happy, Fu-chan swallows up everything that Ayumi dislikes, creating chaos in school and throughout the city!

To help bring across Ayumi's true feelings to Fu-Chan, all 28 Pretty Cures gather once more. When everyone's power comes together, a miraculous light starts to shine.",7.15
Dragon Ball: Episode of Bardock,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Toei Animation,"Shown at Jump Festa 2012, held in December, 2011.

Bardock, Goku's father, who was supposed to have died when Freeza's attack hit him along with the Planet Vegeta, was sent way back in time where the planet was inhabited by strange creatures. There, he meets Freeza's ancestor, a space pirate named Chilled, and fights him to protect the planet.

(Source: AniDB)",7.2
Acchi Kocchi,"Comedy, Romance, Slice of Life",AIC,"Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. 

Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?",7.48
Ookami Kodomo no Ame to Yuki,"Award Winning, Fantasy, Slice of Life",Studio Chizu,"Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family.

Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world.",8.58
Bakuman. 3rd Season,"Comedy, Drama, Romance",J.C.Staff,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be canceled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.",8.53
Maki-chan to Now.,Hentai,Collaboration Works,"Maki Sanjou, the daughter of a famous model, has not only inherited her mother's astonishing looks, but is also incredibly wealthy. She is immensely popular with young men and women alike, exuding the aura of a prim and proper princess. Despite Maki's perfect image, she has a tendency to masturbate in public, often imagining herself being caught, blackmailed, and forced to obey her captor's wild sexual desires.

Coincidentally, her neighbor is Seiichi Sakonji, a young writer employed in the erogames sector. One summer night, when he decides to take a break from work, he overhears Maki moaning in the veranda. Seiichi approaches cautiously, but the wall separating their balconies accidentally comes down and he is caught eavesdropping. However, Maki quickly interrupts his apologies, confessing that she secretly hoped he would come. 

After Maki suggests that Seiichi coerces her into whatever he wishes, the two make love and become a couple. As they engage in various sexual activities, Seiichi cannot believe that he has found such a beautiful girlfriend, and Maki is ecstatic with a boyfriend willing to satisfy her perverted fantasies.",7.36
Yuru Yuri♪♪,"Comedy, Girls Love",Doga Kobo,"The girls of the Amusement Club return in Yuru Yuri♪♪, finding new ways to make passing time even more enjoyable. Their members consist of the always energetic Kyouko Toshinou; calm and sensible Yui Funami; polite but often overlooked Akari Akaza; and Chinatsu Yoshikawa, who stumbled upon the others while looking for the Tea Ceremony Club. Together they are the Amusement Club, which has the deceptively simple task of keeping its members entertained.

Along with the Student Council and the odd family member, they strive to enjoy their youth to the fullest. Whether it's a trip to a hot spring or finishing overdue homework, their lives are never dull, and they will always find an excuse to spend time together.",7.82
Jormungand,"Action, Adventure",White Fox,"Brought up in a conflict-ridden environment, child soldier Jonathan ""Jonah"" Mar hates weapons and those who deal them. But when Koko Hekmatyar, an international arms dealer, takes on Jonah as one of her bodyguards, he has little choice but to take up arms. Along with Koko's other bodyguards, composed mostly of former special-ops soldiers, Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work.

Jormungand follows Koko, Jonah, and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law, she is forced to constantly sidestep both local and international authorities while doing business with armies, private militaries, and militias. With the CIA always hot on her trail, and assassins around every corner, Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying.",7.8
Guilty Crown: Kiseki - Reassortment,"Action, Sci-Fi",Production I.G,A one-hour Noitamina special that recaptures the first 11 episodes of Guilty Crown.,7.1
Uchuu Kyoudai,"Comedy, Sci-Fi",A-1 Pictures,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars.

Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago.",8.5
Tasogare Otome x Amnesia,"Horror, Mystery, Romance, Supernatural",SILVER LINK.,"Seikyou Private Academy, built on the intrigue of traditional occult myths, bears a dark past—for 60 years, it has been haunted by a ghost known as Yuuko, a young woman who mysteriously died in the basement of the old school building. With no memory of her life or death, Yuuko discreetly finds and heads the Paranormal Investigations Club in search of answers.

A chance meeting leads Yuuko to cling to diligent freshman Teiichi Niiya, who can see the quirky ghost, they quickly grow close, and he decides to help her. Along with Kirie Kanoe, Yuuko's relative, and the oblivious second year Momoe Okonogi, they delve deep into the infamous Seven Mysteries of the storied school.

Tasogare Otome x Amnesia tells a unique tale of students who work together to shed light on their school's paranormal happenings, all the while inching closer to the truth behind Yuuko's death.",7.83
Nazo no Kanojo X,Romance,Hoods Entertainment,"First encounters are always memorable because regardless of the outcome, new experiences are sure to happen. For Akira Tsubaki, a young boy who knows next to nothing about girls, and new transfer student Mikoto Urabe, a mysterious girl who wears a cold facade, their first encounter takes a turn for the romantic.

Through a series of strange events, Tsubaki suddenly falls in love with Urabe, and together they develop a curious bond. Thus begins the romance and mystery of Urabe, a girl who seems to have a unique way of expressing her emotions.",7.24
Sakasama no Patema,"Adventure, Award Winning, Sci-Fi","Studio Rikka, Purple Cow Studio Japan","Patema is a plucky young girl from an underground civilization boasting an incredible network of tunnels. Inspired by a friend that mysteriously went missing, she is often reprimanded due to her constant excursions of these tunnels due to her royal status. After she enters what is known as the ""forbidden zone,"" she accidentally falls into a giant bottomless pit after being startled by a strange creature.

Finding herself on the surface, a world literally turned upside down, she begins falling towards the sky only to be saved by Age, a discontented student of the totalitarian nation known as Aiga. The people of Aiga are taught to believe that ""Inverts,"" like Patema, are sinners that will be ""swallowed by the sky,"" but Age has resisted this propaganda and decides to protect his new friend. A chance meeting between two curious teenagers leads to an exploration of two unique worlds as they begin working together to unveil the secrets of their origins in Sakasama no Patema, a heart-warming film about overcoming differences in order to coexist.",7.96
Kyoukaisenjou no Horizon II,"Action, Fantasy, Sci-Fi",Sunrise,"Taking advantage of the opportunity that the Mikawa Conflict provides, Tori and his comrades attempt to rescue Horizon from the Testament Union. But even as the Floating City Musashi speeds towards its next destination, the Floating Island England, Tres España is preparing its own armada for war against the British Islanders. Now, as the quest of Horizon's emotions builds to its climax, Tori's new battle is about to begin in the land ruled by the Fairy Queen! The reenactment of the history described in the mysterious Testament continues as the secret of the Armor of Deadly Sins is unleashed in the spectacular second season of Horizon in the Middle of Nowhere! 

(Source: Sentai Filmworks)",7.49
Sakamichi no Apollon,"Drama, Romance","Tezuka Productions, MAPPA","Introverted classical pianist and top student Kaoru Nishimi has just arrived in Kyushu for his first year of high school. Having constantly moved from place to place since his childhood, he abandons all hope of fitting in, preparing himself for another lonely, meaningless year. That is, until he encounters the notorious delinquent Sentarou Kawabuchi.

Sentarou's immeasurable love for jazz music inspires Kaoru to learn more about the genre, and as a result, he slowly starts to break out of his shell, making his very first friend. Kaoru begins playing the piano at after-school jazz sessions, located in the basement of fellow student Ritsuko Mukae's family-owned record shop. As he discovers the immense joy of using his musical talents to bring enjoyment to himself and others, Kaoru's summer might just crescendo into one that he will remember forever.

Sakamichi no Apollon is a heartwarming story of friendship, music, and love that follows three unique individuals brought together by their mutual appreciation for jazz.",8.31
"Mogyutto ""Love"" de Sekkinchuu!",UNKNOWN,Sunrise,Music video bundled with the fourth single of the fictitious idol group μ's.,7.2
Danball Senki W,Action,OLM,"One year after the fight with the Innovators, a new terrorist organization called the Detectors threatens the world using LBXs. Ban joins up with new and old friends to stop the Detectors.

(Source: ANN)",7.02
Amagami SS+ Plus: Extra Episode+ Plus,Romance,AIC,Short extras of the anime included in each of the six Blu-ray volumes of Amagami SS+.,7.2
Papa no Iukoto wo Kikinasai!: Pokkapoka,"Comedy, Romance",feel.,Unaired episode included in the fifth Blu-ray and fourth DVD volume.,7.17
Joshiraku,Comedy,J.C.Staff,"Joshiraku follows the conversations of five rakugo storyteller girls relating the odd things that happen to them each day. Their comedic and satirical chatting covers all kinds of topics, from pointless observations of everyday life, to politics, manga, and more. Each girl has something new to add to the discussion, and the discourse never ends in the same place it began.

Each of the rakugo girls has their own unique personality, with the energetic but immature Marii Buratei; the seemingly cute Kigurumi Haroukitei; the inherently lucky and carefree Tetora Bouhatei; the calm and violent Gankyou Kuurubiyuutei; and the pessimistic and unstable Kukuru Anrakutei. These girls—and their mysterious friend in a wrestling mask—give their observations to the audience, either backstage at the rakugo theater or in various famous locations around Tokyo.",7.45
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,Comedy,ufotable,Specials that came with the DVDs of Sekai Tougou Hen.,7.01
Uta no☆Prince-sama♪ Maji Love 2000%,"Comedy, Romance",A-1 Pictures,"Entering her Master's course, Nanami Haruka is facing an even more difficult time. And she isn't the only one. The main six members of Starish are assigned new seniors to watch over them! But the seniors aren't having the best attitudes about it. 

Watch Uta no☆Prince-sama♪ Maji Love 2000% and find yourself completely engaged in a whole new adventure mixed in with comedy and romance!",7.18
High School DxD OVA,"Comedy, Romance, Ecchi",TNK,"#1: Oppai, Minorimasu! (Episode 13)
A rumor is going about the school about how girls are disappearing and coming back ill and with their breast size decreased.

#2: Oppai, Motomemasu! (Episode 14)
While observing how the others do their jobs so they can do theirs better, Issei and Asia go with Rias to see if a coffin is cursed. During the investigation Issei is possessed by an Egyptian magician named Unas, It just so happens that Unas is just as perverted as Issei. Unas will only leave Issei's body if they can release Unas from the curse placed on him by a devil that Unas tried to make his bride.",7.27
Phi Brain: Kami no Puzzle - Orpheus Order-hen,"Action, Mystery",Sunrise,"The puzzles get tougher and even more deadly as Kaito Daimon continues his battle against the power hungry Givers of the POG. And with one team member already switching sides, will Kaito have what it takes to keep solving the deadly puzzle traps put before him and reach the fabled Puzzle of God? More importantly, will he be able to solve the puzzles AND maintain his sanity? 

(Source: Sentai Filmworks)",7.26
Shirokuma Cafe,"Comedy, Slice of Life",Pierrot,"Situated near the local zoo and owned by the charismatic polar bear Shirokuma, Shirokuma Cafe is a popular spot for animals and humans alike, allowing them to sit back and relax after a hard day of work. Whether it's a cold beverage or the latest item on his menu, Shirokuma finds joy in being able to serve his customers, often striking up conversations about various subjects.

Together with the sarcastic Penguin and the clumsy Panda, they form an odd trio who get themselves caught up in all sorts of misadventures with their other friends such as Grizzly, a bar owner, and Sasako, a human who works at the cafe. From dealing with unrequited love, outdoor camping trips, karaoke sessions, and even the secret to brewing delicious coffee, there's always something bound to be happening in Shirokuma Cafe!",7.9
Shakugan no Shana-tan III (Final): Final Destruction,Comedy,J.C.Staff,Shakugan no Shana-tan: Final Destruction specials bundled with the limited edition second and sixth volumes of the Shakugan no Shana III (Final) Blu-ray and DVD.,7.01
One Piece Film: Z,"Action, Adventure, Fantasy",Toei Animation,"The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D. Roger－One Piece. On their voyage, the pirates come across a terrifying, powerful man, former Marine Admiral Z.

Z is accused of having stolen the ""Dyna Stones"", weapons believed to have the power to shake up the New World. The Marine Headquarters believes Z is about to use it to end the pirate era, and with it, the lives of many innocent people. In fear of such a phenomenal event, marines start to take action against the former admiral.

Even if it means stumbling upon marines and the navy, the Straw Hat Pirates decided to chase after Z and stop him from causing havoc. As they continue to embark on their ventures, the pirates bump into new and familiar acquaintances.",8.14
Ginga e Kickoff!!,Sports,TYO Animations,"The story follows a boy who was in a soccer team, but it was disbanded due to not enough players. However, after the boy meets a female professional soccer player, he aims to bring his soccer team back.

(Source: AniDB)",7.2
Dantalian no Shoka: Ibarahime,"Action, Mystery",Gainax,"""Huey"" Anthony Disward and Dalian trek to the land owned by Sergeant Callavos, where it is rumored that a Phantom Book may be located. With the help of a local herbalist named Thalia, the two reach a remote village and begin to confirm relevant information to their investigation. Although it has been reported that Callavos perished alongside his family in a gruesome fire six months prior, his daughter Florence has been sighted in a nearby forest—and is suspected of causing the blaze. To verify these allegations once and for all, Huey and Dalian travel to the lord's manor, only to uncover the truth behind a thorny past.",7.15
Tsuritama,"Comedy, Sci-Fi, Slice of Life",A-1 Pictures,"Saving the world... by fishing?

Yuki Sanada has always felt like a fish out of water. Socially awkward and anxious, he struggles to fit in with his surroundings and moves from town to town with his grandma. As he and his grandma settle into the charming seaside town of Enoshima, Yuki hopes for a fresh start. However, his reputation at school is jeopardized by the arrival of fellow transfer student Haru. The eccentric Haru immediately makes a splash, wildly claiming to be an alien and declaring that Yuki is his friend. Pairing the reluctant Yuki with their classmate and fishing talent, Natsuki Usami, he tasks both of them with the absurd mission of saving the world from a mysterious threat in the ocean. Mischief and hijinks ensue, as these three embark on a whimsical adventure filled with laughs, heart, and self-discovery!",7.66
Danshi Koukousei no Nichijou Specials,Comedy,Sunrise,"The clueless boys of Sanada North High School never lack a new topic to dissect. Questions about girls are endless, the true meaning of being a man could be hidden in questionable chivalry, and there might be a moral side to silly pranks. With a different predicament always ongoing, the daily lives of high school boys are anything but boring.",7.83
Madang-eul Naon Amtalg,"Adventure, Drama, Fantasy",Odolttogi,A Korean animation about a hen named Leafie who lives and works on an egg farm who dreams of freedom outside her cage. One day she fakes her own death to escape the farm.,7.32
Naruto SD: Rock Lee no Seishun Full-Power Ninden,"Action, Comedy",Pierrot,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe training to hone his hand-to-hand combat skills. Whenever necessary, he also resorts to creative fighting techniques. With the constant support of his teammates Neji Hyuuga and Tenten, Lee readily embraces daring adventures as opportunities to advance on his path toward excellence.",7.16
Sankarea OVA,"Comedy, Horror, Romance, Supernatural, Ecchi",Studio Deen,"Two OVA episodes are bundled as DVDs with each of volumes 6 and 7 of the manga.

The first OVA is a prequel story written by the manga's author. Before the beginning of the main story, Rea and Chihiro have already met at a certain place: an outdoor hot-spring bath.

The second OVA takes place after the series (effectively episode 14). The Furuya family finds a mysterious young girl hiding under the household temple.",7.2
Peace Hame!,Hentai,Studio 9 Maiami,"Second-year high schooler Tamao Tsukamu, a short and perverted boy, is hopelessly in love with his senior and fellow kendo club member, Kiritani Konome. Beautiful, accomplished, and adored by all, she seems like the perfect romantic interest for Tamao. Yet there is just one issue: Kiritani is already engaged to the giant of a man who is the student council president!

When Kiritani summons Tamao to the student council room, the president extends him an invitation to the yearbook committee. However, Tamao will not be helping with the regular album—instead, he will be contributing to a secret section composed of revealing photos of the female students.",7.06
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,Sports,Production I.G,"Bunta no Mezame
After a spontaneous call from someone anonymous, Bunta Marui sets off on his own to meet up with them. Curious about the person on the other side of the phone, his Rikkai University-Affiliated Middle School Tennis Club teammates, Renji Yanagi and Hiroshi Yagyuu, secretly tail him.

Toukou Tamashii
A video of Shitenhouji Middle School's Kenya Oshitari doing pen spinning tricks suddenly goes viral. Soon, this prompts a competition to see who can upload an even more bizarre video.",7.1
Nazo no Kanojo X: Nazo no Natsu Matsuri,"Mystery, Romance, Ecchi",Hoods Entertainment,"OVA released with the 9th volume of the manga. 

The day when Tsubaki goes to the summer festival with Ueno, Oka, and Urabe.",7.28
Hakuouki: Reimeiroku,"Action, Drama, Supernatural",Studio Deen,"Beaten and left to perish, Ryuunosuke Ibuki is robbed of everything to his name. Seeing him in such a pitiful state, a man named Kamo Serizawa gives him a second chance and offers him to become his personal assistant. Ibuki seems to be spared by grief, but this new lifestyle only makes him nothing more than a dog to one of the most influential men in all of Kyoto.

Meanwhile, with the rise of ronin attacks on the general population, the shogunate sends the Roshigumi to Kyoto to strike for peace. Led by the honorable yet soft-spoken Isami Kondou, the Roshigumi is composed of strong and skilled samurai but lacks any meaningful political connections to gain footing in the city plagued by crime. Having no other choice, Kondou allies with the arrogant Serizawa and his connections in exchange for their combative strength.

Despite hating everything the samurai stand for, Ibuki finds himself tangled in the business of the Roshigumi. However, as he interacts with the members under Kondou's leadership, Ibuki slowly realizes that not all samurai are as cruel and dishonorable as he once thought. Hakuouki Reimeiroku explores the early days leading up to the formation of the Shinsengumi while the political tension in Kyoto gives rise to instability and uncertainty.",7.43
Hakuouki Movie 1: Kyoto Ranbu,"Action, Drama, Supernatural",Studio Deen,"Disguised as a boy, young Chizuru Yukimura leaves her quiet home and heads to Kyoto in search of her missing father—a medical doctor by the name of Koudou. She soon learns that the volatile capital city is a dangerous place to be in as she is ambushed by a pair of ronin while in the streets. Much to her horror, the ronin are slain right in front of her eyes by white-haired, red-eyed samurai, only to be quickly disposed of by three men from the Shinsengumi—a special police force who serve the shogun.

After the incident, Chizuru finds herself being taken into custody by the Shinsengumi for further questioning. Upon learning that her missing father is also the same man they are searching for, the chief allows her to stay in their care while they look for his whereabouts. While working as an assistant for second-in-command Toshizou Hijikata, Chizuru slowly discovers just how connected the troubling political environment of Kyoto and the demonic-looking white-haired samurai are to her.",7.6
Hakuouki Movie 2: Shikon Soukyuu,"Action, Drama, Supernatural",Studio Deen,Second part of two Hakuouki movies.,7.7
Shinsekai yori,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense",A-1 Pictures,"In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her psychic powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children.

Shinsekai yori tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world.",8.28
Wasurenagumo,"Comedy, Supernatural",Production I.G,"Legend says that centuries ago, a colossal spider ravaged Tokyo. Resistance was futile, as none could quell the havoc wrought upon the city by the beast. Fortunately, one man—the legendary exorcist—stopped the devastation. Using his divine powers, he sealed the monster away and the world has enjoyed peace ever since. 

Mizuki Henmi is an adolescent girl who is acquainted with Shu Suzuri, a dull young man who runs an old Japanese bookstore. During a routine visit to his store, Mizuki learns of a mysterious and valuable book that Shu is planning to sell. Unfortunately, the unrestrained Mizuki handles the book roughly, breaking the seal that kept it shut and revealing an odd entity—a cute spider. 

Wasurenagumo tells the story of Mizuki, Shu, and their seemingly harmless spider. However, ominous winds begin blowing. While Shu is infatuated with his arachnid friend, Mizuki becomes wary of its every move…",7.04
Fate/Zero Remix,"Action, Fantasy, Supernatural",ufotable,"Two recap specials titled ""Fate/Zero Remix I"" and ""Fate/Zero Remix II"" serve to summarize the first 13 episodes of Fate/Zero.",7.01
Lupin the Third: Mine Fujiko to Iu Onna,"Action, Adventure, Award Winning, Comedy, Ecchi",TMS Entertainment,"Many people are falling prey to a suspicious new religion. Lupin III infiltrates this group, hoping to steal the treasure their leader keeps hidden. There he lays eyes on the beautiful, bewitching woman who has the leader enthralled. This is the story of how fashionable female thief Fujiko Mine first met Lupin III, the greatest thief of his generation.

(Source: ANN)",7.77
Kyonyuu Fantasy,"Fantasy, Supernatural, Hentai",Majin,"A small peripheral village is terrorized by an insatiable succubus named Shamsiel Shahar. Due to her nature, she has become the bane of all men in the vicinity, sucking out their life forces and leaving them undignified for everyone else to see. The kingdom is too busy with an ongoing revolt to dispatch an adequate unit for exorcising the daemon, so it decides to play a much less valuable card.
 
Ryuuto Henge is the last graduate from the Royal Knight Academy. He is considered a failure as a soldier and a disgrace to the kingdom, making him the perfect man to throw at the succubus' mercy. Assuming it is a one-way journey, Ryuuto prepares to meet his inevitable end. However, after he arrives in the village, he is greeted by Shamsiel herself.

Having heard the news of a knight sent to defeat her, Shamsiel decides to test Ryuuto's endurance first hand. To her utmost surprise and disbelief, she is incapable of draining Ryuuto's energy. His stamina keeps replenishing, and soon, he will be the one with the upper hand.",7.34
Shin Tennis no Ouji-sama Specials,"Comedy, Sports","Production I.G, M.S.C","Shouhei Zenya (The Night Before The Invitation)
Prior to the U-17 training camp invitations, the middle schoolers spend their last few days of leisure relaxing and goofing off with each other. 

Kami no Ko vs Koutei (Child of God vs. Emperor)
The tiebreaker-style elimination match between Rikkai University-Affiliated Middle School's Seiichi Yukimura and Genichirou Sanada pits two of the ""Three Demons'' against each other. As the two fight to stay in the camp, the history between the ""Child of God"" and the ""Emperor'' is revealed.

Densetsu wo Tsugusha-tachi (The One That Stands On Top)
In the next set of tiebreaker-style elimination matches, Shitenhouji Middle School's Kenya Oshitari and Kuranosuke Shiraishi must face off. As both players have been harboring heavy feelings since the Nationals one year prior, they decide to settle it in this high-stakes match.

Shousha no Imi (What it Means to be a Winner)
Following the elimination matches, the winners are treated to a luxurious experience after a brutal training session. Some of the middle schoolers contend with each other over the point of the camp now that the losers are gone. They decide to settle their disagreements in the most appropriate way possible: by playing table tennis.

Otoko-tachi no Kizuna (Bonds Between Men)
After Hyoutei Academy's Choutarou Ootori loses his first court shuffle match, he becomes disheartened and begins to question if he deserves to stay in the camp. Rikkai's Bunta Marui decides to give him some advice to help him overcome his defeat.

Tenshi to Seijo (Angel and Bible)
The court shuffle matches between Courts 3 and 5 pairs Rikkai's Akaya Kirihara and Shitenhouji's Kuranosuke Shiraishi together. As the game grows progressively more difficult, Kirihara becomes agitated by their opponents. Remembering a promise he made to Kirihara's teammate, Shiraishi must prevent the young boy from losing control of his temper at all costs.

Himitsu no Ouji-sama (Prince of Secrets)
The middle schoolers become restless and irritated when the camp's food supply begins to run low from a harsh storm. Seishun Academy's Satoshi Horio must deliver a bag to his teammate, Ryouma Echizen, but the angry middle schoolers start to believe that he is hiding food from them. In an attempt to claim the bag's contents, they all begin to fight each other as Horio tries to outsmart and run past them.",7.49
Inazuma Eleven Go: Chrono Stone,Sports,OLM,"Inazuma Eleven Go: Chrono Stone is set after the Holy Road Soccer Tournament. The hero of of the moment, Tenma Matsukaze, traveled all over Japan to teach soccer to kids.

He returns to Raimon Junior High School after completing his mission, but to his surprise, it's no longer the same Raimon Junior High that he remembers. The soccer club is non-existent, and the members of the champion team in the Holy Road Soccer Tournament have no recollection of taking part in the tournament. They neither remember Tenma nor the game of soccer they loved. As Tenma is baffled by this twist, Alpha, the leader of the Route Agents and captain of Protocol Omega team, suddenly appears before him. Alpha declares that he and his team are responsible for wiping out passion for soccer in Raimon along with the memories of the soccer club members: and Tenma himself is next.

That's when a strange boy named Fei Rune appears just in time to save him. Just who is Fei, and why does Alpha want to eliminate soccer for good? Tenma knows that he needs to do everything in his power to emerge victorious. It's a battle that could seal the fate of soccer forever.",7.23
Shinryaku!! Ika Musume,"Comedy, Slice of Life",Diomedéa,"Original anime DVD bundled with the 12th, 14th, and 17th volumes of the manga.",7.47
Hunter x Hunter Movie 1: Phantom Rouge,"Action, Adventure, Fantasy",Madhouse,"After completing their work at Yorknew City, Leorio Paladiknight and Kurapika investigate the rumored sightings of a boy with scarlet red eyes, as they believe this person to be a member of the now non-existent Kurta Clan. Kurapika hopes to find another survivor of the clan besides himself, but instead ends up losing both his eyes after an attack from someone who seems to be his childhood friend. 

Leorio tends to Kurapika's wounds, and then sends for both Gon Freecss and Killua Zoldyck to help retrieve Kurapika's eyeballs. However, their search brings them face-to-face with the infamous group of thieves known as Phantom Troupe—the same people who massacred the entire Kurta Clan five years ago for their scarlet eyes, which change color during moments of rage. 

Hunter x Hunter Movie 1: Phantom Rouge follows the boys' quest to locate their friend's eyes and catch the thief, causing them to delve deep into Phantom Troupe's past. And in doing so, they encounter a mysterious girl who appears to be linked to it all…",7.27
Jormungand: Perfect Order,"Action, Adventure",White Fox,"Still in pursuit of her ambitious goal, ingenious arms dealer Koko Hekmatyar, inexpressive child soldier Jonathan “Jonah” Mar, and the rest of their squad continue their mercenary activities. From professional assassins to private militaries, the group's work constantly puts them in the face of danger. 

But internal conflicts soon arise after Renato ""R"" Socci, one of Koko's bodyguards, is revealed to be an undercover agent for ""Operation Undershaft""—a plan devised by the CIA to infiltrate HCLI and exploit Koko as a tool. Shocked by his betrayal, Koko's leadership is needed now more than ever to rally her squad and rebuild their foundation of trust before they are torn apart.

Jormungand: Perfect Order follows Koko and the rest of her crew as they take on persistent adversaries, overcome internal struggles, and make Koko's vision of world peace a reality—where everything is in perfect order.",7.9
Tari Tari,Slice of Life,P.A. Works,"At Shirahamazaka High School, a special recital is held every year in which music students are able to showcase their talents in front of professionals and other prestigious guests. Third-year Konatsu Miyamoto desperately wants to sing in her last high school recital, but because she screwed up the year before, the vice principal has barred her from participating.

That's when Konatsu comes up with a new plan to get involved; instead of joining the official choir, she'll form her own singing club with her friends! Unfortunately this proves to be harder than she imagined. Her friend Wakana Sakai has given up on singing, for one, and Konatsu needs more than just two members. With only a month left until the recital, will Konatsu be able to find enough members for her club and actually be ready to sing at one of the most important events of the school year and graduate without regrets?",7.29
